1.000000000000000000e+00,7.750000000000000000e+00
2.000000000000000000e+00,7.330000000000000071e+00
3.000000000000000000e+00,6.889999999999999680e+00
4.000000000000000000e+00,6.450000000000000178e+00
5.000000000000000000e+00,5.959999999999999964e+00
6.000000000000000000e+00,5.549999999999999822e+00
7.000000000000000000e+00,5.099999999999999645e+00
8.000000000000000000e+00,4.490000000000000213e+00
9.000000000000000000e+00,3.930000000000000160e+00
1.000000000000000000e+01,3.580000000000000071e+00
